n,target_tw,achieved_tw,naming,arity,alpha,determinism,seed,variant_index,num_edges,num_nodes,bn_index,query_index,query_vars,query_states,evidence,distance,num_evidence,probability
25,5,4,confusing,range:2-3,1.0,0.0,42,0,45,25,0,0,"[np.str_('Z_1y6a0m'), np.str_('Y_nizbt1')]","['s2', 's1']",{},0,0,0.08954838001025212
25,5,4,confusing,range:2-3,1.0,0.0,42,0,45,25,0,1,"[np.str_('G_0ioozm'), np.str_('Z_1y6a0m')]","['s0', 's0']",{},0,0,0.14651389553560276
25,5,4,confusing,range:2-3,1.0,0.0,42,0,45,25,0,2,"[np.str_('Z_7j9n4o'), np.str_('G_2ohusw')]","['s0', 's1']",{},0,0,0.5411130920461517
25,5,4,confusing,range:2-3,1.0,0.0,42,0,45,25,0,3,"[np.str_('B_f11t3k'), np.str_('O_cguird')]","['s2', 's0']",{},0,0,0.06333041871793281
25,5,4,confusing,range:2-3,1.0,0.0,42,0,45,25,0,4,"[np.str_('G_0ioozm'), np.str_('I_hl76wx')]","['s0', 's0']",{np.str_('Z_1y6a0m'): 's1'},2,1,0.18486556792348774
25,5,4,confusing,range:2-3,1.0,0.0,42,0,45,25,0,5,"[np.str_('Y_nizbt1'), np.str_('I_hl76wx')]","['s1', 's1']",{},0,0,0.10075559186380287
25,5,4,confusing,range:2-3,1.0,0.0,10015,1,45,25,1,0,"[np.str_('B_f11t3k'), np.str_('Z_y2oayg')]","['s0', 's1']",{np.str_('Y_nizbt1'): 's0'},2,1,0.13284454828205572
25,5,4,confusing,range:2-3,1.0,0.0,10015,1,45,25,1,1,"[np.str_('V_w56asb'), np.str_('L_vy01po')]","['s0', 's1']",{},0,0,0.32323121328243115
25,5,4,confusing,range:2-3,1.0,0.0,10015,1,45,25,1,2,"[np.str_('G_2ohusw'), np.str_('O_gh8nq9')]","['s2', 's1']",{},0,0,0.03322216602007777
25,5,4,confusing,range:2-3,1.0,0.0,10015,1,45,25,1,3,"[np.str_('R_dbfd2r'), np.str_('Z_1y6a0m')]","['s0', 's0']",{},0,0,0.08425233725665637
25,5,4,confusing,range:2-3,1.0,0.0,10015,1,45,25,1,4,"[np.str_('O_cguird'), np.str_('Z_7j9n4o')]","['s0', 's1']",{},0,0,0.05400172301538208
25,5,4,confusing,range:2-3,1.0,0.0,10015,1,45,25,1,5,"[np.str_('L_vy01po'), np.str_('Z_7j9n4o')]","['s1', 's1']",{},0,0,0.3415623931543146
