n,target_tw,achieved_tw,naming,arity,alpha,determinism,seed,variant_index,num_edges,num_nodes,bn_index,query_index,query_vars,query_states,evidence,distance,num_evidence,probability
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,0,[np.str_('K_kx9xcv')],['s0'],{np.str_('L_vy01po'): 's1'},2,1,0.0974666665124934
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,1,"[np.str_('Z_7j9n4o'), np.str_('O_cguird')]","['s0', 's2']",{},0,0,0.34391685171511227
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,2,[np.str_('L_vy01po')],['s0'],{np.str_('O_gh8nq9'): 's2'},3,1,0.4883523900415739
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,3,[np.str_('Y_nizbt1')],['s0'],{np.str_('O_gh8nq9'): 's0'},3,1,0.2834701567471339
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,4,[np.str_('Y_nizbt1')],['s1'],{},0,0,0.5719834631385479
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,5,"[np.str_('Y_nizbt1'), np.str_('R_dbfd2r')]","['s1', 's1']",{np.str_('O_gh8nq9'): 's1'},3,1,0.1821131728857496
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,6,[np.str_('K_kx9xcv')],['s0'],{},0,0,0.14526710355140665
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,7,"[np.str_('R_dbfd2r'), np.str_('G_2ohusw')]","['s1', 's0']",{np.str_('Y_nizbt1'): 's0'},2,1,0.15075461249182495
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,8,[np.str_('O_gh8nq9')],['s2'],{np.str_('U_bx3bu6'): 's0'},3,1,0.42164764405101135
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,9,"[np.str_('R_dbfd2r'), np.str_('O_cguird')]","['s0', 's2']",{},0,0,0.3400360260231147
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,10,"[np.str_('O_cguird'), np.str_('L_vy01po')]","['s0', 's0']",{np.str_('Y_nizbt1'): 's0'},3,1,0.09210245108115596
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,11,[np.str_('G_2ohusw')],['s1'],"{np.str_('U_bx3bu6'): 's1', np.str_('Z_7j9n4o'): 's1'}",2,2,0.6456647614557584
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,0,"[np.str_('O_gh8nq9'), np.str_('L_vy01po')]","['s1', 's0']",{np.str_('U_bx3bu6'): 's0'},1,1,0.16153708640933498
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,1,[np.str_('Z_7j9n4o')],['s1'],{},0,0,0.40170850319908175
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,2,[np.str_('O_gh8nq9')],['s0'],{},0,0,0.4524046914379887
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,3,[np.str_('Y_nizbt1')],['s0'],{},0,0,0.8339842703216838
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,4,"[np.str_('O_gh8nq9'), np.str_('U_bx3bu6')]","['s0', 's0']","{np.str_('Y_nizbt1'): 's0', np.str_('O_cguird'): 's0'}",2,2,0.11507730991913698
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,5,"[np.str_('G_2ohusw'), np.str_('L_vy01po')]","['s1', 's2']",{np.str_('K_kx9xcv'): 's1'},1,1,0.053655645990973506
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,6,"[np.str_('L_vy01po'), np.str_('G_2ohusw')]","['s0', 's0']",{np.str_('Z_7j9n4o'): 's1'},2,1,0.3141549508674604
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,7,[np.str_('U_bx3bu6')],['s2'],{},0,0,0.38328799416146797
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,8,"[np.str_('Y_nizbt1'), np.str_('U_bx3bu6')]","['s0', 's0']",{np.str_('Z_7j9n4o'): 's1'},1,1,0.13157341185137644
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,9,[np.str_('O_cguird')],['s1'],{},0,0,0.4955433036134359
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,10,[np.str_('R_dbfd2r')],['s1'],{},0,0,0.573926290975176
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,11,[np.str_('O_gh8nq9')],['s1'],"{np.str_('Y_nizbt1'): 's1', np.str_('K_kx9xcv'): 's0'}",2,2,0.5114003628558929
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,0,"[np.str_('O_gh8nq9'), np.str_('U_bx3bu6')]","['s1', 's1']",{np.str_('Y_nizbt1'): 's0'},2,1,0.12013845261867219
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,1,"[np.str_('O_gh8nq9'), np.str_('K_kx9xcv')]","['s0', 's1']",{},0,0,0.04910598047253543
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,2,"[np.str_('K_kx9xcv'), np.str_('R_dbfd2r')]","['s1', 's2']",{},0,0,0.026793534861777348
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,3,[np.str_('O_gh8nq9')],['s0'],{},0,0,0.527813032561842
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,4,[np.str_('R_dbfd2r')],['s2'],{},0,0,0.348871260873718
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,5,"[np.str_('O_cguird'), np.str_('G_2ohusw')]","['s0', 's0']",{},0,0,0.07387978259457507
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,6,"[np.str_('K_kx9xcv'), np.str_('R_dbfd2r')]","['s1', 's0']",{np.str_('O_gh8nq9'): 's1'},2,1,0.015536352248509076
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,7,[np.str_('O_cguird')],['s1'],"{np.str_('Z_7j9n4o'): 's1', np.str_('O_gh8nq9'): 's0'}",2,2,0.22581836386620158
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,8,[np.str_('U_bx3bu6')],['s0'],{},0,0,0.36004856135125846
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,9,"[np.str_('G_2ohusw'), np.str_('O_cguird')]","['s1', 's0']",{np.str_('O_gh8nq9'): 's0'},1,1,0.6237249351259677
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,10,[np.str_('G_2ohusw')],['s0'],{np.str_('R_dbfd2r'): 's1'},2,1,0.08305724950156122
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,11,"[np.str_('O_gh8nq9'), np.str_('G_2ohusw')]","['s1', 's1']",{np.str_('L_vy01po'): 's0'},2,1,0.46281485095473757
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,0,[np.str_('G_2ohusw')],['s0'],{},0,0,0.07122105313469868
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,1,[np.str_('K_kx9xcv')],['s2'],{np.str_('O_gh8nq9'): 's1'},2,1,0.09492819550249529
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,2,[np.str_('O_cguird')],['s2'],"{np.str_('K_kx9xcv'): 's0', np.str_('R_dbfd2r'): 's1'}",2,2,0.5933015156261877
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,3,"[np.str_('U_bx3bu6'), np.str_('O_cguird')]","['s1', 's0']",{},0,0,0.3520236055064101
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,4,"[np.str_('L_vy01po'), np.str_('U_bx3bu6')]","['s0', 's1']","{np.str_('O_gh8nq9'): 's1', np.str_('Y_nizbt1'): 's1'}",2,2,0.10597229071858458
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,5,[np.str_('G_2ohusw')],['s2'],{},0,0,0.09566841043189829
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,6,[np.str_('U_bx3bu6')],['s0'],{np.str_('G_2ohusw'): 's1'},2,1,0.1910757335032347
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,7,[np.str_('Y_nizbt1')],['s1'],{},0,0,0.3398022829309641
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,8,[np.str_('O_gh8nq9')],['s0'],{},0,0,0.4901700868714794
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,9,"[np.str_('U_bx3bu6'), np.str_('R_dbfd2r')]","['s1', 's0']",{np.str_('Y_nizbt1'): 's0'},2,1,0.4838695771140167
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,10,[np.str_('K_kx9xcv')],['s0'],{np.str_('L_vy01po'): 's1'},2,1,0.16372859505126913
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,11,"[np.str_('R_dbfd2r'), np.str_('O_cguird')]","['s1', 's2']",{np.str_('O_gh8nq9'): 's0'},2,1,0.27385699767237653
